P	BT_HAB	1	BT_	0x40018000	Bluetooth	HAB	controller				
A	0x0	0x2000	IOregisters								
R	HAB_RX_CTRL_GP1	0x08	32	read-write	receive	control	reg				
F	OCL_FB_MODE	30	1	read-write							
F	SYM_MASK	20	1	read-write							
F	SYM_ENB	29	1	read-write							
F	SYM_GN	28	1	read-write							
F	FDB_DIS	11	1	read-write							
F	RXMODE	6	1	read-write							
F	SYNC_ERROR	0	6	read-write							
R	HAB_INTR_CTRL_GP1	0x20	32	read-write	Radio	Interrupt	control				
F	LTR_INTR_MASK	8	1	read-write							
F	RIF_INTR_MASK3	6	2	read-write							
F	RIF_INTR_MASK2	4	2	read-write							
F	RIF_INTR_MASK1	2	2	read-write							
F	RIF_INTR_MASK0	0	2	read-write							
R	HAB_INTR_CLR	0x24	32	write-only	Radio	Interrupt	clear				
F	LTR_INTR_CLR	4	1	Write-only							
F	RIF_INTR_CLR	0	4	Write-only							
R	HAB_PHY_CONFIG	0x28	32	read-write	PHY	Configuration					
F	Ceva_Reserved	31	1	read-write							
F	RX_INV	30	1	read-write							
F	LTR_BYP	29	1	read-write							
F	GAU_BYP	28	1	read-write							
F	OCL_BYP	26	1	read-write							
F	DAT_BYP	25	1	read-write							
F	RX_FMT	23	1	read-write							
F	TX_FMT	22	1	read-write							
F	TXDIR_INV	21	1	read-write							
F	TX_INV	20	1	read-write							
F	SYNC_TX	18	2	read-write							
F	SYNC_RX	17	1	read-write							
F	SYNC_INV	16	1	read-write							
F	REFCLK_INV	15	1	read-write							
F	RXBDW_DIR	13	2	read-write							
F	TXDATA_FRC	11	2	read-write							
F	TXDATA_DIR	10	1	read-write							
F	RST_DIR	    9	1	read-write							
F	OPEN_DRAIN	8	1	read-write							
F	LPOCLK_DIV	7	1	read-write							
F	PHYCLK_GATE	6	1	read-write							
F	REFCLK_DIR	5	1	read-write							
F	REFCLK_DIV	0	5	read-write							
R	HAB_STAT_GP1	0x2C	32	read-only	status	reg					
F	Ceva_Reserved	16	16	Read-only							
F	GIO_STATUS	12	4	Read-only							
F	RIF_INTR	8	4	Read-only							
F	LTR_INTR	7	1	Read-only							
F	LTR_LONG_PERIOD	5	1	Read-only							
R	HAB_GIO_HIGH_CTRL_1_AND_0	0x30	32	read-write	GIO	Control_Ext_Override	High	Position	0	and	1
F	HIGH_1_OVERRIDE	31	1	read-write							
F	HIGH_1_EXT	29	2	read-write							
F	HIGH_1_VAL	16	11	read-write							
F	HIGH_0_OVERRIDE	15	1	read-write							
F	HIGH_0_EXT	13	2	read-write							
F	HIGH_0_VAL	0	11	read-write							
R	HAB_GIO_HIGH_CTRL_3_AND_2	0x34	32	read-write	GIO	Control_Ext_Override	High	Position	2	and	3
F	HIGH_3_OVERRIDE	31	1	read-write							
F	HIGH_3_EXT	29	2	read-write							
F	HIGH_3_VAL	16	11	read-write							
F	HIGH_2_OVERRIDE	15	1	read-write							
F	HIGH_2_EXT	13	2	read-write							
F	HIGH_2_VAL	0	11	read-write							
R	HAB_GIO_HIGH_CTRL_5_AND_4	0x38	32	read-write	GIO	Control_Ext_Override	High	Position	4	and	5
F	HIGH_5_OVERRIDE	31	1	read-write							
F	HIGH_5_EXT	29	2	read-write							
F	HIGH_5_VAL	16	11	read-write							
