P	BT_JAL	1	BT_	0x40016000	Bluetooth	JAL	controller			
A	0x0	0x2000	IOregisters							
I 	INT_BT_BB 	0
R	JAL_COM_CTRL_BD_LO	0x00	32	read-write	Bluetooth	Device	Address			
F	UAP	24	8	read-write						
F	LAP	0	24	read-write						
R	JAL_COM_CTRL_BD_HI	0x04	32	read-write	Bluetooth	Device	Address			
F	NAP	0	16	read-write						
R	JAL_COM_CTRL_SYNC_LO	0x08	32	read-write	Device	Sync	Word			
F	SYNC_LO	0	32	read-write						
R	JAL_COM_CTRL_SYNC_HI	0x0C	32	read-write	Device	Sync	Word			
F	SYNC_HI	0	32	read-write						
R	JAL_COM_CTRL_INTRASLOT_OFFSET	0x10	32	read-write	Intraslot	Offset				
F	INTRASLOT_OFFSET	0	11	read-write						
R	JAL_COM_CTRL_BT_CLK_READ_or_OFFSET_WR	0x18	32	read-write	Bluetooth	Clock	Offset or Bluetooth	Clock
F	BT_CLK_or_BT_CLK_OFFSET	0	28	read-only						
R	JAL_COM_CTRL_NATIVE_CLK	0x1C	32	read-write	Native	Bluetooth	Clock			
F	NATIVE_BT_CLK	0	28	read-write						
R	JAL_COM_CTRL_GP1	0x20	32	read-write	common	control	reg1			
F	CRC_INIT	24	8	read-write						
F	VCI_CLK_SEL	22	2	read-write						
F	SCO_FIFO	20	2	read-write						
F	SCO_CFG2	16	4	read-write						
F	SCO_CFG1	12	4	read-write						
F	SCO_CFG0	8	4	read-write						
F	PAGE	7	1	read-write						
F	SLAVE	6	1	read-write						
F	USE_LF	5	1	read-write						
F	ENCRYPT	3	2	read-write						
F	AM_ADDR	0	3	read-write						
R	JAL_COM_CTRL_GP2	0x24	32	read-write	common	control	reg2			
F	WHITEN	31	1	read-write						
F	DOUBLE_BUF	30	1	read-write						
F	DWH2_INIT	24	6	read-write						
F	DWH_BY_BT_CLK	23	1	read-write						
F	DWH_INIT	16	6	read-write						
F	USE_HAB_CRL1	15	1	read-write						
F	TEST_TX_SHIFT	12	3	read-write						
F	TEST_FORCE_NO_DDW	10	1	read-write						
F	VCI_CLK_SEL_MAP	9	1	read-write						
F	TEST_RADIO	8	1	read-write						
F	TEST_HEC	7	1	read-write						
F	TEST_CRC	6	1	read-write						
F	ECO_ERR	2	4	read-write						
F	TEST_ECO	1	1	read-write						
F	LOOP	0	1	read-write						
R	JAL_COM_CTRL_IRQ	0x28	32	read-write	common	control	irq	int		
F	VCI_SYNC_DIR	31	1	read-write						
F	SYNC_DET_INTR_CLR	30	1	read-write						
F	NO_PKT_RCVD_INTR_CLR	29	1	read-write						
F	AES_INTR_CLR	28	1	read-write						
F	SER0_WR_CLR	27	1	read-write						
F	SPI_NOW_CONFLICT_CLR	25	1	read-write						
F	PKD_RX_HDR_INTR_CLR	23	1	read-write						
F	PKA_INTR_CLR	22	1	read-write						
F	AUX_TMR_INTR_CLR	21	1	read-write						
F	PKD_INTR_CLR	20	1	read-write						
F	TIM_INTR_CLR_3	19	1	read-write						
F	TIM_INTR_CLR_2	18	1	read-write						
F	TIM_INTR_CLR_1	17	1	read-write						
F	TIM_INTR_CLR_0	16	1	read-write						
F	TX_RX_AUX1_PKT	15	1	read-write						
F	SYNC_DET_INTR_MASK	14	1	read-write						
F	NO_PKT_RCVD_INTR_MASK	13	1	read-write						
F	AES_INTR_MASK	12	1	read-write						
F	PKD_RX_HDR_INTR_MASK	7	1	read-write						
F	PKA_INTR_MASK	6	1	read-write						
F	AUX_TMR_INTR_MASK	5	1	read-write						
F	PKD_INTR_MASK	4	1	read-write						
F	TIM_INTR_MASK	0	4	read-write						
R	JAL_COM_STAT_IRQ	0x2C	32	read-write	common	int	status	register		
F	SLEEP	15	1	read-write						
F	SYNC_DET_INTR	14	1	read-write						
F	NO_PKT_RCVD_INTR	13	1	read-write						
F	AES_INTR	        12	1	read-write						
F	SPI_NOW_CONFLICT	9	1	read-write						
F	PKD_RX_HDR_INTR	7	1	read-write						
F	PKA_INTR	6	1	read-write						
F	AUX_TMR_INTR	5	1	read-write						
F	PKD_INTR	4	1	read-write						
F	TIM_INTR	0	4	read-write						
R	JAL_TX_CTRL	0x30	32	read-write	Transmit	Control				
F	TX_P_FLOW	21	1	read-write						
F	TX_L_CH	19	2	read-write						
F	TX_MODE	17	2	read-write						
F	TX_SEQN	15	1	read-write						
F	TX_ARQN	14	1	read-write						
F	TX_FLOW	13	1	read-write						
F	TX_TYPE	9	4	read-write						
F	TX_LEN	0	9	read-write						
R	JAL_ESCO_CTRL	0x34	32	read-write	eSCO	packet	control			
F	SCO_ROUTE	19	1	read-write						
F	ESCO_LT_ADDR	16	3	read-write						
F	RX_LEN_ESCO	8	8	read-write						
F	TX_LEN_ESCO	0	8	read-write						
R	JAL_NATIVE_BIT_CNT	0x38	32	read-only	native	bit	count			
F	native_bitcnt	0	11	read-only						
R	JAL_CODEC_TYPE	0x3C	32	read-write	codec	type				
F	CODEC_TYPE	0	3	read-write						
R	JAL_RX_CTRL	0x48	32	read-write	receive	control				
F	ABORT_ON_WRONG_AM_ADDR	23	1	read-write						
F	FREEZE_BIT_CNT	22	1	read-write						
F	WIN_EXT	12	10	read-write						
F	ERR_SEL	9	3	read-write						
F	ABORT_ON_FEC_FAIL	7	1	read-write						
F	SYNC_ERR	2	5	read-write						
F	RX_MODE	0	2	read-write						
R	JAL_RX_STATUS_GP1	0x50	32	read-write	receive	status	reg1			
F	AM_ADDR_ABORT	29	1	read-only						
F	FEC_ABORT	28	1	read-only						
F	RX_HDR	27	1	read-only						
F	CRC_ERR	26	1	read-only						
F	HEC_ERR	25	1	read-only						
F	RX_PKT	24	1	read-only						
F	RX_P_FLOW	21	1	read-only						
F	RX_L_CH	    19	2	read-only						
F	RX_AM_ADDR	16	3	read-only						
F	RX_SEQN	15	1	read-only						
F	RX_ARQN	14	1	read-only						
F	RX_FLOW	13	1	read-only						
F	RX_TYPE	9	4	read-only						
F	RX_LEN	0	9	read-only						
R	JAL_RX_STATUS_GP2	0x58	32	read-only	receive	status	reg2			
F	PKD_POS_ERR	0	7	read-only						
R	JAL_SER_CFG_or_JTAG	0x60	32	read-write	Serial	Interface	config			
F	SER_BUSY	31	1	read-only						
F	SER_MODE	30	1	read-write						
F	Dbus_En	27	1	read-write						
F	low_enable	26	1	read-write						
F	lsb_first	25	1	read-write						
F	SEL_Pol	24	1	read-write						
F	Clk_Byp	23	1	read-write						
F	Clock_High	20	3	read-write						
F	Clock_Low	16	4	read-write						
F	Enable	12	4	read-write						
F	Data_Pol	11	1	read-write						
F	Clk_Pol	10	1	read-write						
F	Packet_length	5	5	read-write						
F	Address_length	0	5	read-write						
R	JAL_SER_ESER_CTRL	0x64	32	read-write	enhanced	SER	control			
F	SER_MAP_SEL	23	1	read-write						
F	SER_SEQ	21	1	read-write						
F	SER_NOW	20	1	read-write						
F	SER_ONE_SHOT	19	1	read-write						
F	SER_COMBINE	16	3	read-write						
F	SER_MASK	0	16	read-write						
R	JAL_SER_ESER_TIME	0x68	32	read-write	enhanced	SER	timing			
F	SER_TIME_LATE_EN	20	4	read-write						
F	SER_TIME_EARLY_EN	16	4	read-write						
R	JAL_SER_ESER_TIME0	0x70	32	read-write	enhanced	SER	timing	0		
F	SER_TIME_0	0	4	read-write						
R	JAL_SER_ESER_TIME1	0x74	32	read-write	enhanced	SER	timing	1		
F	SER_TIME_1	4	4	read-write						
