P	DMAC	1	DMAC_	0x41100000	DMA	controller					
A	0x0	0x10000	IOregisters								
I	INT_DMAC	2									
I	INT_DMAC0	16									
I	INT_DMAC1	17									
I	INT_DMAC2	18									
I	INT_DMAC3	19									
I	INT_DMAC4	20									
I	INT_DMAC5	21									
I	INT_DMAC6	22									
I	INT_DMAC7	23									
R	DmaCfgReg	0x398	32	read-write	DMA	Configuration	Register				
F	DMA_EN	0	1	read-write							
R	ChEnReg	0x3a0	32	read-write	DMA	Channel	Enable	Register			
F	CH_EN_WE	8	8	write-only							
F	CH_EN	0	8	read-write							
R	SAR0	0x000	32	read-write	Channel	0	Source	Address	Register		
F	SAR	0x0	32	read-write							
R	DAR0	0x008	32	read-write	Channel	0	Destination	Address	Register		
F	DAR	0x0	32	read-write							
R	LLP0	0x010	32	read-write	Channel	0	Linked	List	Pointer	Register	
F	LOC	2	30	read-write							
F	LMS	0	2	read-write							
R	CTL0_H	0x01C	32	read-write	Channel	0	Control	Register	High	word	
F	DONE	12	1	read-write							
F	BLOCK_TS	0	12	read-write							
R	CTL0_L	0x018	32	read-write	Channel	0	Control	Register	Low	word	
F	LLP_SRC_EN	28	1	read-write							
F	LLP_DST_EN	27	1	read-write							
F	SMS	25	2	read-write							
F	DMS	23	2	read-write							
F	TT_FC	20	3	read-write							
F	DST_SCATTER_EN	18	1	read-write							
F	SRC_GATHER_EN	17	1	read-write							
F	SRC_MSIZE	14	3	read-write							
F	DEST_MSIZE	11	3	read-write							
F	SINC	9	2	read-write							
F	DINC	7	2	read-write							
F	SRC_TR_WIDTH	4	3	read-write							
F	DST_TR_WIDTH	1	3	read-write							
F	INT_EN	0	1	read-write							
R	SSTAT0	0x020	32	read-write	Channel	0	Source	Status	Register		
F	SSTAT	0	32	read-write							
R	DSTAT0	0x028	32	read-write	Channel	0	Destination	Status	Register		
F	DSTAT	0	32	read-write							
R	SSTATAR0	0x030	32	read-write	Channel	0	Source	Status	Address	Register	
F	SSTATAR	0	32	read-write							
R	DSTATAR0	0x038	32	read-write	Channel	0	Destination	Status	Address	Register	
F	DSTATAR	0	32	read-write							
R	CFG0_H	0x044	32	read-write	Channel	0	Configuration	Register	High	word	
F	DEST_PER	11	4	read-write							
F	SRC_PER	7	4	read-write							
F	SS_UPD_EN	6	1	read-write							
F	DS_UPD_EN	5	1	read-write							
F	PROTCTL	2	3	read-write							
F	FIFO_MODE	1	1	read-write							
F	FCMODE	0	1	read-write							
R	CFG0_L	0x040	32	read-write	Channel	0	Configuration	Register	Low	word	
F	RELOAD_DST	31	1	read-write							
F	RELOAD_SRC	30	1	read-write							
F	MAX_ABRST	20	10	read-write							
F	SRC_HS_POL	19	1	read-write							
F	DST_HS_POL	18	1	read-write							
F	LOCK_B	17	1	read-write							
F	LOCK_CH	16	1	read-write							
F	LOCK_B_L	14	2	read-write							
F	LOCK_CH_L	12	2	read-write							
F	HS_SEL_SRC	11	1	read-write							
F	HS_SEL_DST	10	1	read-write							
F	FIFO_EMPTY	9	1	read-write							
F	CH_SUSP	8	1	read-write							
F	CH_PRIOR	5	3	read-write							
R	SGR0	0x048	32	read-write	Channel	0	Source	Gather	Register		
F	SGC	20	12	read-write							
F	SGI	0	20	read-write							
R	DSR0	0x050	32	read-write	Channel	0	Destination	Scatter	Register		
F	DSC	20	12	read-write							
F	DSI	0	20	read-write							
R	SAR1	0x58	32	read-write	Channel	1	Source	Address	Register		
F	SAR	0x0	32	read-write							
R	DAR1	0x60	32	read-write	Channel	1	Destination	Address	Register		
F	DAR	0x0	32	read-write							
R	LLP1	0x68	32	read-write	Channel	1	Linked	List	Pointer		
F	LOC	2	30	read-write							
F	LMS	0	2	read-write							
R	CTL1_H	0x74	32	read-write	Channel	1	Control	Register	High	word	
F	DONE	12	1	read-write							
F	BLOCK_TS	0	12	read-write							
R	CTL1_L	0x70	32	read-write	Channel	1	Control	Register	Low	word	
F	LLP_SRC_EN	28	1	read-write							
F	LLP_DST_EN	27	1	read-write							
F	SMS	25	2	read-write							
F	DMS	23	2	read-write							
F	TT_FC	20	3	read-write							
F	DST_SCATTER_EN	18	1	read-write							
F	SRC_GATHER_EN	17	1	read-write							
F	SRC_MSIZE	14	3	read-write							
F	DEST_MSIZE	11	3	read-write							
F	SINC	9	2	read-write							
F	DINC	7	2	read-write							
F	SRC_TR_WIDTH	4	3	read-write							
F	DST_TR_WIDTH	1	3	read-write							
F	INT_EN	0	1	read-write							
R	SSTAT1	0x78	32	read-write	Channel	1	Source	Status	Register		
F	SSTAT	0	32	read-write							
R	DSTAT1	0x80	32	read-write	Channel	1	Destination	Status	Register		
F	DSTAT	0	32	read-write							
R	SSTATAR1	0x88	32	read-write	Channel	1	Source	Status	Address		
F	SSTATAR	0	32	read-write							
R	DSTATAR1	0x90	32	read-write	Channel	1	Destination	Status	Address		
F	DSTATAR	0	32	read-write							
R	CFG1_H	0x9c	32	read-write	Channel	1	Configuration	Register	High	word	
F	DEST_PER	11	4	read-write							
F	SRC_PER	7	4	read-write							
F	SS_UPD_EN	6	1	read-write							
F	DS_UPD_EN	5	1	read-write							
F	PROTCTL	2	3	read-write							
F	FIFO_MODE	1	1	read-write							
F	FCMODE	0	1	read-write							
R	CFG1_L	0x98	32	read-write	Channel	1	Configuration	Register	Low	word	
F	RELOAD_DST	31	1	read-write							
F	RELOAD_SRC	30	1	read-write							
F	MAX_ABRST	20	10	read-write							
F	SRC_HS_POL	19	1	read-write							
F	DST_HS_POL	18	1	read-write							
F	LOCK_B	17	1	read-write							
F	LOCK_CH	16	1	read-write							
F	LOCK_B_L	14	2	read-write							
F	LOCK_CH_L	12	2	read-write							
F	HS_SEL_SRC	11	1	read-write							
F	HS_SEL_DST	10	1	read-write							
F	FIFO_EMPTY	9	1	read-write							
F	CH_SUSP	8	1	read-write							
F	CH_PRIOR	5	3	read-write							
R	SGR1	0xa0	32	read-write	Channel	1	Source	Gather	Register		
F	SGC	20	12	read-write							
F	SGI	0	20	read-write							
R	DSR1	0xa8	32	read-write	Channel	1	Destination	Scatter	Register		
F	DSC	20	12	read-write							
F	DSI	0	20	read-write							
R	SAR2	0xb0	32	read-write	Channel	2	Source	Address	Register		
F	SAR	0x0	32	read-write							
R	DAR2	0xb8	32	read-write	Channel	2	Destination	Address	Register		
F	DAR	0x0	32	read-write							
R	LLP2	0xc0	32	read-write	Channel	2	Linked	List	Pointer		
F	LOC	2	30	read-write							
F	LMS	0	2	read-write							
R	CTL2_H	0xcc	32	read-write	Channel	2	Control	Register	High	word	
F	DONE	12	1	read-write							
F	BLOCK_TS	0	12	read-write							
R	CTL2_L	0xc8	32	read-write	Channel	2	Control	Register	Low	word	
F	LLP_SRC_EN	28	1	read-write							
F	LLP_DST_EN	27	1	read-write							
F	SMS	25	2	read-write							
F	DMS	23	2	read-write							
F	TT_FC	20	3	read-write							
F	DST_SCATTER_EN	18	1	read-write							
F	SRC_GATHER_EN	17	1	read-write							
F	SRC_MSIZE	14	3	read-write							
F	DEST_MSIZE	11	3	read-write							
F	SINC	9	2	read-write							
F	DINC	7	2	read-write							
F	SRC_TR_WIDTH	4	3	read-write							
F	DST_TR_WIDTH	1	3	read-write							
F	INT_EN	0	1	read-write							
R	SSTAT2	0xd0	32	read-write	Channel	2	Source	Status	Register		
F	SSTAT	0	32	read-write							
R	DSTAT2	0xd8	32	read-write	Channel	2	Destination	Status	Register		
F	DSTAT	0	32	read-write							
R	SSTATAR2	0xe0	32	read-write	Channel	2	Source	Status	Address		
F	SSTATAR	0	32	read-write							
R	DSTATAR2	0xe8	32	read-write	Channel	2	Destination	Status	Address		
F	DSTATAR	0	32	read-write							
R	CFG2_H	0xf4	32	read-write	Channel	2	Configuration	Register	High	word	
F	DEST_PER	11	4	read-write							
F	SRC_PER	7	4	read-write							
F	SS_UPD_EN	6	1	read-write							
F	DS_UPD_EN	5	1	read-write							
F	PROTCTL	2	3	read-write							
F	FIFO_MODE	1	1	read-write							
F	FCMODE	0	1	read-write							
R	CFG2_L	0xf0	32	read-write	Channel	2	Configuration	Register	Low	word	
F	RELOAD_DST	31	1	read-write							
F	RELOAD_SRC	30	1	read-write							
F	MAX_ABRST	20	10	read-write							
F	SRC_HS_POL	19	1	read-write							
F	DST_HS_POL	18	1	read-write							
F	LOCK_B	17	1	read-write							
F	LOCK_CH	16	1	read-write							
F	LOCK_B_L	14	2	read-write							
F	LOCK_CH_L	12	2	read-write							
F	HS_SEL_SRC	11	1	read-write							
F	HS_SEL_DST	10	1	read-write							
F	FIFO_EMPTY	9	1	read-write							
F	CH_SUSP	8	1	read-write							
F	CH_PRIOR	5	3	read-write							
R	SGR2	0xf8	32	read-write	Channel	2	Source	Gather	Register		
F	SGC	20	12	read-write							
F	SGI	0	20	read-write							
R	DSR2	0x100	32	read-write	Channel	2	Destination	Scatter	Register		
F	DSC	20	12	read-write							
F	DSI	0	20	read-write							
R	SAR3	0x108	32	read-write	Channel	3	Source	Address	Register		
F	SAR	0x0	32	read-write							
R	DAR3	0x110	32	read-write	Channel	3	Destination	Address	Register		
F	DAR	0x0	32	read-write							
R	LLP3	0x118	32	read-write	Channel	3	Linked	List	Pointer		
F	LOC	2	30	read-write							
F	LMS	0	2	read-write							
R	CTL3_H	0x124	32	read-write	Channel	3	Control	Register	High	word	
F	DONE	12	1	read-write							
F	BLOCK_TS	0	12	read-write							
R	CTL3_L	0x120	32	read-write	Channel	3	Control	Register	Low	word	
F	LLP_SRC_EN	28	1	read-write							
F	LLP_DST_EN	27	1	read-write							
F	SMS	25	2	read-write							
F	DMS	23	2	read-write							
F	TT_FC	20	3	read-write							
F	DST_SCATTER_EN	18	1	read-write							
F	SRC_GATHER_EN	17	1	read-write							
F	SRC_MSIZE	14	3	read-write							
F	DEST_MSIZE	11	3	read-write							
F	SINC	9	2	read-write							
F	DINC	7	2	read-write							
F	SRC_TR_WIDTH	4	3	read-write							
F	DST_TR_WIDTH	1	3	read-write							
F	INT_EN	0	1	read-write							
R	SSTAT3	0x128	32	read-write	Channel	3	Source	Status	Register		
F	SSTAT	0	32	read-write							
R	DSTAT3	0x130	32	read-write	Channel	3	Destination	Status	Register		
F	DSTAT	0	32	read-write							
R	SSTATAR3	0x138	32	read-write	Channel	3	Source	Status	Address		
F	SSTATAR	0	32	read-write							
R	DSTATAR3	0x140	32	read-write	Channel	3	Destination	Status	Address		
F	DSTATAR	0	32	read-write							
R	CFG3_H	0x14c	32	read-write	Channel	3	Configuration	Register	High	word	
F	DEST_PER	11	4	read-write							
F	SRC_PER	7	4	read-write							
F	SS_UPD_EN	6	1	read-write							
F	DS_UPD_EN	5	1	read-write							
F	PROTCTL	2	3	read-write							
F	FIFO_MODE	1	1	read-write							
F	FCMODE	0	1	read-write							
R	CFG3_L	0x148	32	read-write	Channel	3	Configuration	Register	Low	word	
F	RELOAD_DST	31	1	read-write							
F	RELOAD_SRC	30	1	read-write							
F	MAX_ABRST	20	10	read-write							
F	SRC_HS_POL	19	1	read-write							
F	DST_HS_POL	18	1	read-write							
F	LOCK_B	17	1	read-write							
F	LOCK_CH	16	1	read-write							
F	LOCK_B_L	14	2	read-write							
F	LOCK_CH_L	12	2	read-write							
F	HS_SEL_SRC	11	1	read-write							
F	HS_SEL_DST	10	1	read-write							
F	FIFO_EMPTY	9	1	read-write							
F	CH_SUSP	8	1	read-write							
F	CH_PRIOR	5	3	read-write							
R	SGR3	0x150	32	read-write	Channel	3	Source	Gather	Register		
F	SGC	20	12	read-write							
F	SGI	0	20	read-write							
R	DSR3	0x158	32	read-write	Channel	3	Destination	Scatter	Register		
F	DSC	20	12	read-write							
F	DSI	0	20	read-write							
R	SAR4	0x160	32	read-write	Channel	4	Source	Address	Register		
F	SAR	0x0	32	read-write							
R	DAR4	0x168	32	read-write	Channel	4	Destination	Address	Register		
F	DAR	0x0	32	read-write							
R	LLP4	0x170	32	read-write	Channel	4	Linked	List	Pointer		
F	LOC	2	30	read-write							
F	LMS	0	2	read-write							
R	CTL4_H	0x17c	32	read-write	Channel	4	Control	Register	High	word	
F	DONE	12	1	read-write							
